business_id,Ambience,value
5UmKMjUEUNdYWqANhGckJw,romantic,False
5UmKMjUEUNdYWqANhGckJw,intimate,False
5UmKMjUEUNdYWqANhGckJw,classy,False
5UmKMjUEUNdYWqANhGckJw,hipster,False
5UmKMjUEUNdYWqANhGckJw,divey,False
5UmKMjUEUNdYWqANhGckJw,touristy,False
5UmKMjUEUNdYWqANhGckJw,trendy,False
5UmKMjUEUNdYWqANhGckJw,upscale,False
5UmKMjUEUNdYWqANhGckJw,casual,False
mVHrayjG3uZ_RLHkLj-AMg,romantic,False
mVHrayjG3uZ_RLHkLj-AMg,intimate,False
mVHrayjG3uZ_RLHkLj-AMg,classy,False
mVHrayjG3uZ_RLHkLj-AMg,hipster,False
mVHrayjG3uZ_RLHkLj-AMg,divey,False
mVHrayjG3uZ_RLHkLj-AMg,touristy,False
mVHrayjG3uZ_RLHkLj-AMg,trendy,False
mVHrayjG3uZ_RLHkLj-AMg,upscale,False
mVHrayjG3uZ_RLHkLj-AMg,casual,False
KayYbHCt-RkbGcPdGOThNg,romantic,False
KayYbHCt-RkbGcPdGOThNg,intimate,False
KayYbHCt-RkbGcPdGOThNg,touristy,False
KayYbHCt-RkbGcPdGOThNg,hipster,False
KayYbHCt-RkbGcPdGOThNg,divey,False
KayYbHCt-RkbGcPdGOThNg,classy,False
KayYbHCt-RkbGcPdGOThNg,trendy,False
KayYbHCt-RkbGcPdGOThNg,upscale,False
KayYbHCt-RkbGcPdGOThNg,casual,True
fNGIbpazjTRdXgwRY_NIXA,romantic,False
fNGIbpazjTRdXgwRY_NIXA,intimate,False
fNGIbpazjTRdXgwRY_NIXA,touristy,False
fNGIbpazjTRdXgwRY_NIXA,hipster,False
fNGIbpazjTRdXgwRY_NIXA,divey,False
fNGIbpazjTRdXgwRY_NIXA,classy,False
fNGIbpazjTRdXgwRY_NIXA,trendy,False
fNGIbpazjTRdXgwRY_NIXA,upscale,False
fNGIbpazjTRdXgwRY_NIXA,casual,False
b9WZJp5L1RZr4F1nxclOoQ,romantic,False
b9WZJp5L1RZr4F1nxclOoQ,intimate,False
b9WZJp5L1RZr4F1nxclOoQ,classy,False
b9WZJp5L1RZr4F1nxclOoQ,hipster,False
b9WZJp5L1RZr4F1nxclOoQ,divey,True
b9WZJp5L1RZr4F1nxclOoQ,touristy,False
b9WZJp5L1RZr4F1nxclOoQ,trendy,False
b9WZJp5L1RZr4F1nxclOoQ,upscale,False
b9WZJp5L1RZr4F1nxclOoQ,casual,False
zaXDakTd3RXyOa7sMrUE1g,romantic,False
zaXDakTd3RXyOa7sMrUE1g,intimate,False
zaXDakTd3RXyOa7sMrUE1g,touristy,False
zaXDakTd3RXyOa7sMrUE1g,hipster,False
zaXDakTd3RXyOa7sMrUE1g,divey,False
zaXDakTd3RXyOa7sMrUE1g,classy,False
zaXDakTd3RXyOa7sMrUE1g,trendy,False
zaXDakTd3RXyOa7sMrUE1g,upscale,False
zaXDakTd3RXyOa7sMrUE1g,casual,False
WETE_LykpcnrC1sFcQ5EGg,romantic,False
WETE_LykpcnrC1sFcQ5EGg,intimate,False
WETE_LykpcnrC1sFcQ5EGg,touristy,False
WETE_LykpcnrC1sFcQ5EGg,hipster,False
WETE_LykpcnrC1sFcQ5EGg,divey,False
WETE_LykpcnrC1sFcQ5EGg,classy,False
WETE_LykpcnrC1sFcQ5EGg,trendy,False
WETE_LykpcnrC1sFcQ5EGg,upscale,False
WETE_LykpcnrC1sFcQ5EGg,casual,False
rv7CY8G_XibTx82YhuqQRw,romantic,False
rv7CY8G_XibTx82YhuqQRw,intimate,False
rv7CY8G_XibTx82YhuqQRw,classy,False
rv7CY8G_XibTx82YhuqQRw,hipster,False
rv7CY8G_XibTx82YhuqQRw,divey,False
rv7CY8G_XibTx82YhuqQRw,touristy,False
rv7CY8G_XibTx82YhuqQRw,trendy,False
rv7CY8G_XibTx82YhuqQRw,upscale,False
rv7CY8G_XibTx82YhuqQRw,casual,False
wqu7ILomIOPSduRwoWp4AQ,romantic,False
wqu7ILomIOPSduRwoWp4AQ,intimate,False
wqu7ILomIOPSduRwoWp4AQ,touristy,False
wqu7ILomIOPSduRwoWp4AQ,hipster,False
wqu7ILomIOPSduRwoWp4AQ,divey,False
wqu7ILomIOPSduRwoWp4AQ,classy,False
wqu7ILomIOPSduRwoWp4AQ,trendy,False
wqu7ILomIOPSduRwoWp4AQ,upscale,False
wqu7ILomIOPSduRwoWp4AQ,casual,False
P1fJb2WQ1mXoiudj8UE44w,romantic,False
P1fJb2WQ1mXoiudj8UE44w,intimate,False
P1fJb2WQ1mXoiudj8UE44w,classy,False
P1fJb2WQ1mXoiudj8UE44w,hipster,False
P1fJb2WQ1mXoiudj8UE44w,divey,False
P1fJb2WQ1mXoiudj8UE44w,touristy,False
P1fJb2WQ1mXoiudj8UE44w,trendy,False
P1fJb2WQ1mXoiudj8UE44w,upscale,False
P1fJb2WQ1mXoiudj8UE44w,casual,True
8QlnAcjGE6dgfKTVoxrPvQ,romantic,False
8QlnAcjGE6dgfKTVoxrPvQ,intimate,False
8QlnAcjGE6dgfKTVoxrPvQ,classy,False
8QlnAcjGE6dgfKTVoxrPvQ,hipster,False
8QlnAcjGE6dgfKTVoxrPvQ,divey,False
8QlnAcjGE6dgfKTVoxrPvQ,touristy,False
8QlnAcjGE6dgfKTVoxrPvQ,trendy,False
8QlnAcjGE6dgfKTVoxrPvQ,upscale,False
8QlnAcjGE6dgfKTVoxrPvQ,casual,False
t_gan0EXAw8csKIeFyazJw,romantic,False
t_gan0EXAw8csKIeFyazJw,intimate,False
t_gan0EXAw8csKIeFyazJw,classy,False
t_gan0EXAw8csKIeFyazJw,hipster,False
t_gan0EXAw8csKIeFyazJw,divey,False
t_gan0EXAw8csKIeFyazJw,touristy,False
t_gan0EXAw8csKIeFyazJw,trendy,False
t_gan0EXAw8csKIeFyazJw,upscale,False
t_gan0EXAw8csKIeFyazJw,casual,False
6ilJq_05xRgek_8qUp36-g,romantic,False
6ilJq_05xRgek_8qUp36-g,intimate,False
6ilJq_05xRgek_8qUp36-g,touristy,False
6ilJq_05xRgek_8qUp36-g,hipster,False
6ilJq_05xRgek_8qUp36-g,divey,False
6ilJq_05xRgek_8qUp36-g,classy,False
6ilJq_05xRgek_8qUp36-g,trendy,False
6ilJq_05xRgek_8qUp36-g,upscale,False
6ilJq_05xRgek_8qUp36-g,casual,True
MKyk4F4HSzHF8v-4cYe3Ww,romantic,False
MKyk4F4HSzHF8v-4cYe3Ww,intimate,False
MKyk4F4HSzHF8v-4cYe3Ww,touristy,False
MKyk4F4HSzHF8v-4cYe3Ww,hipster,False
MKyk4F4HSzHF8v-4cYe3Ww,divey,False
MKyk4F4HSzHF8v-4cYe3Ww,classy,False
MKyk4F4HSzHF8v-4cYe3Ww,trendy,False
MKyk4F4HSzHF8v-4cYe3Ww,upscale,False
MKyk4F4HSzHF8v-4cYe3Ww,casual,True
1qCuOcks5HRv67OHovAVpg,romantic,False
1qCuOcks5HRv67OHovAVpg,intimate,False
1qCuOcks5HRv67OHovAVpg,classy,False
1qCuOcks5HRv67OHovAVpg,hipster,False
1qCuOcks5HRv67OHovAVpg,divey,False
1qCuOcks5HRv67OHovAVpg,touristy,False
1qCuOcks5HRv67OHovAVpg,trendy,False
1qCuOcks5HRv67OHovAVpg,casual,True
sbW8qHJgzEIH42B0S-3New,romantic,False
sbW8qHJgzEIH42B0S-3New,intimate,False
sbW8qHJgzEIH42B0S-3New,touristy,False
sbW8qHJgzEIH42B0S-3New,hipster,False
sbW8qHJgzEIH42B0S-3New,divey,False
sbW8qHJgzEIH42B0S-3New,classy,False
sbW8qHJgzEIH42B0S-3New,trendy,False
sbW8qHJgzEIH42B0S-3New,upscale,False
sbW8qHJgzEIH42B0S-3New,casual,True
W7ysp8GLCBrs0GXIVwAcBQ,romantic,False
W7ysp8GLCBrs0GXIVwAcBQ,intimate,False
W7ysp8GLCBrs0GXIVwAcBQ,classy,False
W7ysp8GLCBrs0GXIVwAcBQ,hipster,False
W7ysp8GLCBrs0GXIVwAcBQ,divey,False
W7ysp8GLCBrs0GXIVwAcBQ,touristy,False
W7ysp8GLCBrs0GXIVwAcBQ,trendy,False
W7ysp8GLCBrs0GXIVwAcBQ,upscale,False
W7ysp8GLCBrs0GXIVwAcBQ,casual,False
McikHxxEqZ2X0joaRNKlaw,romantic,False
McikHxxEqZ2X0joaRNKlaw,intimate,False
McikHxxEqZ2X0joaRNKlaw,touristy,False
McikHxxEqZ2X0joaRNKlaw,hipster,False
McikHxxEqZ2X0joaRNKlaw,divey,False
McikHxxEqZ2X0joaRNKlaw,classy,False
McikHxxEqZ2X0joaRNKlaw,trendy,False
McikHxxEqZ2X0joaRNKlaw,upscale,False
McikHxxEqZ2X0joaRNKlaw,casual,True
tv8cS4aaA1VDaInYgggb6g,romantic,False
tv8cS4aaA1VDaInYgggb6g,intimate,False
tv8cS4aaA1VDaInYgggb6g,touristy,False
tv8cS4aaA1VDaInYgggb6g,hipster,False
tv8cS4aaA1VDaInYgggb6g,divey,False
tv8cS4aaA1VDaInYgggb6g,classy,False
tv8cS4aaA1VDaInYgggb6g,trendy,False
tv8cS4aaA1VDaInYgggb6g,upscale,False
tv8cS4aaA1VDaInYgggb6g,casual,True
EoAY1JSVeJriBzId8lUQwQ,romantic,False
EoAY1JSVeJriBzId8lUQwQ,intimate,False
EoAY1JSVeJriBzId8lUQwQ,touristy,False
EoAY1JSVeJriBzId8lUQwQ,hipster,False
EoAY1JSVeJriBzId8lUQwQ,divey,False
EoAY1JSVeJriBzId8lUQwQ,classy,False
EoAY1JSVeJriBzId8lUQwQ,trendy,False
EoAY1JSVeJriBzId8lUQwQ,upscale,False
EoAY1JSVeJriBzId8lUQwQ,casual,True
TfvWSIAMFZ9zI3y2-K6wOA,romantic,False
TfvWSIAMFZ9zI3y2-K6wOA,intimate,False
TfvWSIAMFZ9zI3y2-K6wOA,classy,False
TfvWSIAMFZ9zI3y2-K6wOA,hipster,False
TfvWSIAMFZ9zI3y2-K6wOA,divey,False
TfvWSIAMFZ9zI3y2-K6wOA,touristy,False
TfvWSIAMFZ9zI3y2-K6wOA,trendy,False
TfvWSIAMFZ9zI3y2-K6wOA,upscale,False
TfvWSIAMFZ9zI3y2-K6wOA,casual,False
tU-YtoW339PXJmUGSix_AQ,romantic,False
tU-YtoW339PXJmUGSix_AQ,intimate,False
tU-YtoW339PXJmUGSix_AQ,classy,False
tU-YtoW339PXJmUGSix_AQ,hipster,False
tU-YtoW339PXJmUGSix_AQ,divey,False
tU-YtoW339PXJmUGSix_AQ,touristy,False
tU-YtoW339PXJmUGSix_AQ,trendy,False
tU-YtoW339PXJmUGSix_AQ,upscale,False
tU-YtoW339PXJmUGSix_AQ,casual,False
6p9TlP2I8S4agxYMNFSDjg,romantic,False
6p9TlP2I8S4agxYMNFSDjg,intimate,False
6p9TlP2I8S4agxYMNFSDjg,classy,False
6p9TlP2I8S4agxYMNFSDjg,hipster,False
6p9TlP2I8S4agxYMNFSDjg,divey,False
6p9TlP2I8S4agxYMNFSDjg,touristy,False
6p9TlP2I8S4agxYMNFSDjg,trendy,False
6p9TlP2I8S4agxYMNFSDjg,upscale,False
6p9TlP2I8S4agxYMNFSDjg,casual,True
JDDeaNfb0JXD1NbznSIC9g,romantic,False
JDDeaNfb0JXD1NbznSIC9g,intimate,False
JDDeaNfb0JXD1NbznSIC9g,classy,False
JDDeaNfb0JXD1NbznSIC9g,hipster,False
JDDeaNfb0JXD1NbznSIC9g,divey,False
JDDeaNfb0JXD1NbznSIC9g,touristy,False
JDDeaNfb0JXD1NbznSIC9g,trendy,False
JDDeaNfb0JXD1NbznSIC9g,upscale,False
JDDeaNfb0JXD1NbznSIC9g,casual,True
FiXamVMgMf9U0VqFHDZSEA,romantic,False
FiXamVMgMf9U0VqFHDZSEA,intimate,False
FiXamVMgMf9U0VqFHDZSEA,touristy,False
FiXamVMgMf9U0VqFHDZSEA,hipster,False
FiXamVMgMf9U0VqFHDZSEA,divey,False
FiXamVMgMf9U0VqFHDZSEA,classy,False
FiXamVMgMf9U0VqFHDZSEA,trendy,False
FiXamVMgMf9U0VqFHDZSEA,upscale,False
FiXamVMgMf9U0VqFHDZSEA,casual,True
uLnDFdn011hEroQQMLmxNQ,romantic,False
uLnDFdn011hEroQQMLmxNQ,intimate,False
uLnDFdn011hEroQQMLmxNQ,classy,False
uLnDFdn011hEroQQMLmxNQ,hipster,False
uLnDFdn011hEroQQMLmxNQ,divey,False
uLnDFdn011hEroQQMLmxNQ,touristy,False
uLnDFdn011hEroQQMLmxNQ,trendy,False
uLnDFdn011hEroQQMLmxNQ,upscale,False
uLnDFdn011hEroQQMLmxNQ,casual,False
eznh0XjVtv924K-KYx_ilQ,romantic,False
eznh0XjVtv924K-KYx_ilQ,intimate,False
eznh0XjVtv924K-KYx_ilQ,classy,False
eznh0XjVtv924K-KYx_ilQ,hipster,False
eznh0XjVtv924K-KYx_ilQ,divey,False
eznh0XjVtv924K-KYx_ilQ,touristy,False
eznh0XjVtv924K-KYx_ilQ,trendy,False
eznh0XjVtv924K-KYx_ilQ,upscale,False
eznh0XjVtv924K-KYx_ilQ,casual,True
usSROUMiAgPcxV3Ym0OxMQ,romantic,False
usSROUMiAgPcxV3Ym0OxMQ,intimate,False
usSROUMiAgPcxV3Ym0OxMQ,classy,False
usSROUMiAgPcxV3Ym0OxMQ,hipster,False
usSROUMiAgPcxV3Ym0OxMQ,divey,False
usSROUMiAgPcxV3Ym0OxMQ,touristy,False
usSROUMiAgPcxV3Ym0OxMQ,trendy,False
usSROUMiAgPcxV3Ym0OxMQ,upscale,False
usSROUMiAgPcxV3Ym0OxMQ,casual,True
53Yk2EODWnV9qHQECzeHVQ,romantic,False
53Yk2EODWnV9qHQECzeHVQ,intimate,False
53Yk2EODWnV9qHQECzeHVQ,touristy,False
53Yk2EODWnV9qHQECzeHVQ,hipster,False
53Yk2EODWnV9qHQECzeHVQ,divey,False
53Yk2EODWnV9qHQECzeHVQ,classy,False
53Yk2EODWnV9qHQECzeHVQ,trendy,False
53Yk2EODWnV9qHQECzeHVQ,upscale,False
53Yk2EODWnV9qHQECzeHVQ,casual,False
iBZRphMDFcS2aMbawc1OvA,romantic,False
iBZRphMDFcS2aMbawc1OvA,intimate,False
iBZRphMDFcS2aMbawc1OvA,touristy,False
iBZRphMDFcS2aMbawc1OvA,hipster,False
iBZRphMDFcS2aMbawc1OvA,divey,False
iBZRphMDFcS2aMbawc1OvA,classy,False
iBZRphMDFcS2aMbawc1OvA,trendy,False
iBZRphMDFcS2aMbawc1OvA,upscale,False
iBZRphMDFcS2aMbawc1OvA,casual,False
GJAv1nAfnHuab8oRyr8mXg,romantic,False
GJAv1nAfnHuab8oRyr8mXg,intimate,False
GJAv1nAfnHuab8oRyr8mXg,classy,False
GJAv1nAfnHuab8oRyr8mXg,hipster,False
GJAv1nAfnHuab8oRyr8mXg,divey,False
GJAv1nAfnHuab8oRyr8mXg,touristy,False
GJAv1nAfnHuab8oRyr8mXg,trendy,False
GJAv1nAfnHuab8oRyr8mXg,upscale,False
GJAv1nAfnHuab8oRyr8mXg,casual,False
r8BwdblCW-ZUES37BL0khw,romantic,False
r8BwdblCW-ZUES37BL0khw,intimate,False
r8BwdblCW-ZUES37BL0khw,classy,False
r8BwdblCW-ZUES37BL0khw,hipster,False
r8BwdblCW-ZUES37BL0khw,divey,False
r8BwdblCW-ZUES37BL0khw,touristy,False
r8BwdblCW-ZUES37BL0khw,trendy,False
r8BwdblCW-ZUES37BL0khw,upscale,False
r8BwdblCW-ZUES37BL0khw,casual,False
mIiHJkpK8nZvW_45LlhrbA,romantic,False
mIiHJkpK8nZvW_45LlhrbA,intimate,False
mIiHJkpK8nZvW_45LlhrbA,touristy,False
mIiHJkpK8nZvW_45LlhrbA,hipster,False
mIiHJkpK8nZvW_45LlhrbA,divey,False
mIiHJkpK8nZvW_45LlhrbA,classy,False
mIiHJkpK8nZvW_45LlhrbA,trendy,False
mIiHJkpK8nZvW_45LlhrbA,upscale,False
mIiHJkpK8nZvW_45LlhrbA,casual,False
OZfpG8tDCcIEq8pzgZdyKw,romantic,False
OZfpG8tDCcIEq8pzgZdyKw,intimate,False
OZfpG8tDCcIEq8pzgZdyKw,classy,False
OZfpG8tDCcIEq8pzgZdyKw,hipster,False
OZfpG8tDCcIEq8pzgZdyKw,divey,False
OZfpG8tDCcIEq8pzgZdyKw,touristy,False
OZfpG8tDCcIEq8pzgZdyKw,trendy,False
OZfpG8tDCcIEq8pzgZdyKw,upscale,False
OZfpG8tDCcIEq8pzgZdyKw,casual,False
8Nm_jcCYtMXYW0ODSHDiXA,romantic,False
8Nm_jcCYtMXYW0ODSHDiXA,intimate,False
8Nm_jcCYtMXYW0ODSHDiXA,touristy,False
8Nm_jcCYtMXYW0ODSHDiXA,hipster,False
8Nm_jcCYtMXYW0ODSHDiXA,divey,False
8Nm_jcCYtMXYW0ODSHDiXA,classy,False
8Nm_jcCYtMXYW0ODSHDiXA,trendy,False
8Nm_jcCYtMXYW0ODSHDiXA,upscale,False
8Nm_jcCYtMXYW0ODSHDiXA,casual,False
T49ZvBa6mD4xHSmjHe-ArA,romantic,False
T49ZvBa6mD4xHSmjHe-ArA,intimate,False
T49ZvBa6mD4xHSmjHe-ArA,classy,False
T49ZvBa6mD4xHSmjHe-ArA,hipster,False
T49ZvBa6mD4xHSmjHe-ArA,divey,False
T49ZvBa6mD4xHSmjHe-ArA,touristy,False
T49ZvBa6mD4xHSmjHe-ArA,trendy,False
T49ZvBa6mD4xHSmjHe-ArA,upscale,False
T49ZvBa6mD4xHSmjHe-ArA,casual,False
eOv0Dbq2E8sd0CKMAqTImw,romantic,False
eOv0Dbq2E8sd0CKMAqTImw,intimate,False
eOv0Dbq2E8sd0CKMAqTImw,touristy,False
eOv0Dbq2E8sd0CKMAqTImw,hipster,False
eOv0Dbq2E8sd0CKMAqTImw,divey,False
eOv0Dbq2E8sd0CKMAqTImw,classy,False
eOv0Dbq2E8sd0CKMAqTImw,trendy,False
eOv0Dbq2E8sd0CKMAqTImw,upscale,False
eOv0Dbq2E8sd0CKMAqTImw,casual,True
