business_id,attribute,value
tv8cS4aaA1VDaInYgggb6g,Good For Dancing,False
tv8cS4aaA1VDaInYgggb6g,Noise Level,very_loud
tv8cS4aaA1VDaInYgggb6g,Coat Check,False
tv8cS4aaA1VDaInYgggb6g,Has TV,False
tv8cS4aaA1VDaInYgggb6g,Happy Hour,False
tv8cS4aaA1VDaInYgggb6g,Outdoor Seating,False
tv8cS4aaA1VDaInYgggb6g,Smoking,no
tv8cS4aaA1VDaInYgggb6g,Accepts Credit Cards,True
tv8cS4aaA1VDaInYgggb6g,Good For Groups,True
tv8cS4aaA1VDaInYgggb6g,Wheelchair Accessible,True
eT5Ck7Gg1dBJobca9VFovw,Accepts Credit Cards,True
eT5Ck7Gg1dBJobca9VFovw,Wheelchair Accessible,True
eT5Ck7Gg1dBJobca9VFovw,Price Range,2
HwwEfnZKLNOUoqfgcwAgcQ,Accepts Credit Cards,True
HwwEfnZKLNOUoqfgcwAgcQ,Wheelchair Accessible,True
HwwEfnZKLNOUoqfgcwAgcQ,Price Range,2
EoAY1JSVeJriBzId8lUQwQ,Alcohol,full_bar
EoAY1JSVeJriBzId8lUQwQ,Noise Level,loud
EoAY1JSVeJriBzId8lUQwQ,Attire,casual
EoAY1JSVeJriBzId8lUQwQ,Good for Kids,False
EoAY1JSVeJriBzId8lUQwQ,Wheelchair Accessible,True
EoAY1JSVeJriBzId8lUQwQ,Good For Dancing,False
EoAY1JSVeJriBzId8lUQwQ,Delivery,False
EoAY1JSVeJriBzId8lUQwQ,Coat Check,False
EoAY1JSVeJriBzId8lUQwQ,Smoking,outdoor
EoAY1JSVeJriBzId8lUQwQ,Accepts Credit Cards,True
EoAY1JSVeJriBzId8lUQwQ,Take-out,True
EoAY1JSVeJriBzId8lUQwQ,Price Range,2
EoAY1JSVeJriBzId8lUQwQ,Happy Hour,True
EoAY1JSVeJriBzId8lUQwQ,Outdoor Seating,True
EoAY1JSVeJriBzId8lUQwQ,Takes Reservations,True
EoAY1JSVeJriBzId8lUQwQ,Waiter Service,True
EoAY1JSVeJriBzId8lUQwQ,Wi-Fi,free
EoAY1JSVeJriBzId8lUQwQ,Caters,False
EoAY1JSVeJriBzId8lUQwQ,Has TV,True
EoAY1JSVeJriBzId8lUQwQ,Good For Groups,True
uI0LvTXFACid1308KFO5ew,Good for Kids,True
Y4CcDDyMoDpK7BbpKawWjw,Accepts Credit Cards,True
Y4CcDDyMoDpK7BbpKawWjw,Wheelchair Accessible,True
Y4CcDDyMoDpK7BbpKawWjw,Price Range,2
TfvWSIAMFZ9zI3y2-K6wOA,Take-out,True
TfvWSIAMFZ9zI3y2-K6wOA,Wi-Fi,no
TfvWSIAMFZ9zI3y2-K6wOA,Noise Level,average
TfvWSIAMFZ9zI3y2-K6wOA,Takes Reservations,False
TfvWSIAMFZ9zI3y2-K6wOA,Has TV,False
TfvWSIAMFZ9zI3y2-K6wOA,Delivery,False
TfvWSIAMFZ9zI3y2-K6wOA,Wheelchair Accessible,True
TfvWSIAMFZ9zI3y2-K6wOA,Outdoor Seating,False
TfvWSIAMFZ9zI3y2-K6wOA,Attire,casual
TfvWSIAMFZ9zI3y2-K6wOA,Alcohol,none
TfvWSIAMFZ9zI3y2-K6wOA,Waiter Service,False
TfvWSIAMFZ9zI3y2-K6wOA,Accepts Credit Cards,True
TfvWSIAMFZ9zI3y2-K6wOA,Good for Kids,True
TfvWSIAMFZ9zI3y2-K6wOA,Good For Groups,False
TfvWSIAMFZ9zI3y2-K6wOA,Price Range,1
tU-YtoW339PXJmUGSix_AQ,Coat Check,False
tU-YtoW339PXJmUGSix_AQ,Take-out,True
tU-YtoW339PXJmUGSix_AQ,Wi-Fi,free
tU-YtoW339PXJmUGSix_AQ,Good For Dancing,False
tU-YtoW339PXJmUGSix_AQ,Takes Reservations,True
tU-YtoW339PXJmUGSix_AQ,Delivery,False
tU-YtoW339PXJmUGSix_AQ,Happy Hour,True
tU-YtoW339PXJmUGSix_AQ,Has TV,True
tU-YtoW339PXJmUGSix_AQ,Outdoor Seating,False
tU-YtoW339PXJmUGSix_AQ,Attire,casual
tU-YtoW339PXJmUGSix_AQ,Alcohol,full_bar
tU-YtoW339PXJmUGSix_AQ,Waiter Service,True
tU-YtoW339PXJmUGSix_AQ,Accepts Credit Cards,True
tU-YtoW339PXJmUGSix_AQ,Good for Kids,True
tU-YtoW339PXJmUGSix_AQ,Good For Groups,True
tU-YtoW339PXJmUGSix_AQ,Caters,True
tU-YtoW339PXJmUGSix_AQ,Price Range,2
6p9TlP2I8S4agxYMNFSDjg,Take-out,True
6p9TlP2I8S4agxYMNFSDjg,Wi-Fi,free
6p9TlP2I8S4agxYMNFSDjg,Caters,True
6p9TlP2I8S4agxYMNFSDjg,Noise Level,average
6p9TlP2I8S4agxYMNFSDjg,Takes Reservations,False
6p9TlP2I8S4agxYMNFSDjg,Has TV,True
6p9TlP2I8S4agxYMNFSDjg,Delivery,False
6p9TlP2I8S4agxYMNFSDjg,Wheelchair Accessible,True
6p9TlP2I8S4agxYMNFSDjg,Outdoor Seating,False
6p9TlP2I8S4agxYMNFSDjg,Attire,casual
6p9TlP2I8S4agxYMNFSDjg,Alcohol,full_bar
6p9TlP2I8S4agxYMNFSDjg,Waiter Service,True
6p9TlP2I8S4agxYMNFSDjg,Accepts Credit Cards,True
6p9TlP2I8S4agxYMNFSDjg,Good for Kids,True
6p9TlP2I8S4agxYMNFSDjg,Good For Groups,True
6p9TlP2I8S4agxYMNFSDjg,Price Range,2
Eu3Iwje0YY8ectr-CxMgqg,By Appointment Only,False
Eu3Iwje0YY8ectr-CxMgqg,Accepts Credit Cards,True
Eu3Iwje0YY8ectr-CxMgqg,Price Range,3
XhbC5Qj5nBcqcKLPRd8izQ,Accepts Credit Cards,True
XhbC5Qj5nBcqcKLPRd8izQ,Price Range,3
FituZ4jYzRe41ac9uvcHaQ,Accepts Credit Cards,True
FituZ4jYzRe41ac9uvcHaQ,Price Range,2
JDDeaNfb0JXD1NbznSIC9g,Take-out,True
JDDeaNfb0JXD1NbznSIC9g,Wi-Fi,no
JDDeaNfb0JXD1NbznSIC9g,Caters,False
JDDeaNfb0JXD1NbznSIC9g,Noise Level,loud
JDDeaNfb0JXD1NbznSIC9g,Takes Reservations,True
JDDeaNfb0JXD1NbznSIC9g,Has TV,True
JDDeaNfb0JXD1NbznSIC9g,Delivery,False
JDDeaNfb0JXD1NbznSIC9g,Wheelchair Accessible,True
JDDeaNfb0JXD1NbznSIC9g,Outdoor Seating,False
JDDeaNfb0JXD1NbznSIC9g,Attire,casual
JDDeaNfb0JXD1NbznSIC9g,Alcohol,full_bar
JDDeaNfb0JXD1NbznSIC9g,Waiter Service,True
JDDeaNfb0JXD1NbznSIC9g,Accepts Credit Cards,True
JDDeaNfb0JXD1NbznSIC9g,Good for Kids,True
JDDeaNfb0JXD1NbznSIC9g,Good For Groups,True
JDDeaNfb0JXD1NbznSIC9g,Price Range,2
oPX8bpZ3dqviYQuic0Ahqw,Accepts Credit Cards,True
oPX8bpZ3dqviYQuic0Ahqw,Price Range,2
FiXamVMgMf9U0VqFHDZSEA,Take-out,True
FiXamVMgMf9U0VqFHDZSEA,Wi-Fi,free
FiXamVMgMf9U0VqFHDZSEA,Caters,True
FiXamVMgMf9U0VqFHDZSEA,Noise Level,average
FiXamVMgMf9U0VqFHDZSEA,Takes Reservations,False
FiXamVMgMf9U0VqFHDZSEA,Has TV,False
FiXamVMgMf9U0VqFHDZSEA,Delivery,False
FiXamVMgMf9U0VqFHDZSEA,Wheelchair Accessible,True
FiXamVMgMf9U0VqFHDZSEA,Outdoor Seating,True
FiXamVMgMf9U0VqFHDZSEA,Attire,casual
FiXamVMgMf9U0VqFHDZSEA,Alcohol,none
FiXamVMgMf9U0VqFHDZSEA,Waiter Service,False
FiXamVMgMf9U0VqFHDZSEA,Accepts Credit Cards,True
FiXamVMgMf9U0VqFHDZSEA,Good for Kids,True
FiXamVMgMf9U0VqFHDZSEA,Good For Groups,True
FiXamVMgMf9U0VqFHDZSEA,Price Range,1
ISKLP0qxApATxRlUDob6Cg,Accepts Credit Cards,True
ISKLP0qxApATxRlUDob6Cg,Wheelchair Accessible,True
ISKLP0qxApATxRlUDob6Cg,Price Range,2
DMy5IG-dNrH4ARk96KngEA,Accepts Credit Cards,True
DMy5IG-dNrH4ARk96KngEA,Price Range,3
uLnDFdn011hEroQQMLmxNQ,Take-out,True
uLnDFdn011hEroQQMLmxNQ,Noise Level,loud
uLnDFdn011hEroQQMLmxNQ,Takes Reservations,False
uLnDFdn011hEroQQMLmxNQ,Delivery,True
uLnDFdn011hEroQQMLmxNQ,Outdoor Seating,False
uLnDFdn011hEroQQMLmxNQ,Attire,casual
uLnDFdn011hEroQQMLmxNQ,Waiter Service,False
uLnDFdn011hEroQQMLmxNQ,Good for Kids,True
uLnDFdn011hEroQQMLmxNQ,Good For Groups,True
uLnDFdn011hEroQQMLmxNQ,Price Range,1
rdATJvFQK4C73NIQ3zoY3w,Accepts Credit Cards,True
rdATJvFQK4C73NIQ3zoY3w,Price Range,2
g10zmpUzmMJOOIjj_JJPvg,Accepts Credit Cards,True
g10zmpUzmMJOOIjj_JJPvg,Price Range,2
eznh0XjVtv924K-KYx_ilQ,Take-out,True
eznh0XjVtv924K-KYx_ilQ,Wi-Fi,no
eznh0XjVtv924K-KYx_ilQ,Caters,True
eznh0XjVtv924K-KYx_ilQ,Noise Level,average
eznh0XjVtv924K-KYx_ilQ,Takes Reservations,False
eznh0XjVtv924K-KYx_ilQ,Has TV,False
eznh0XjVtv924K-KYx_ilQ,Delivery,False
eznh0XjVtv924K-KYx_ilQ,Wheelchair Accessible,True
eznh0XjVtv924K-KYx_ilQ,Outdoor Seating,False
eznh0XjVtv924K-KYx_ilQ,Attire,casual
eznh0XjVtv924K-KYx_ilQ,Alcohol,none
eznh0XjVtv924K-KYx_ilQ,Waiter Service,True
eznh0XjVtv924K-KYx_ilQ,Accepts Credit Cards,True
eznh0XjVtv924K-KYx_ilQ,Good for Kids,True
eznh0XjVtv924K-KYx_ilQ,Good For Groups,True
eznh0XjVtv924K-KYx_ilQ,Price Range,1
LQFWH1AKJlXGmEBlIKsBCw,Accepts Credit Cards,True
LQFWH1AKJlXGmEBlIKsBCw,Price Range,2
LO2CjrNL8DXkvm9uALgRjQ,Accepts Credit Cards,True
LO2CjrNL8DXkvm9uALgRjQ,Price Range,2
usSROUMiAgPcxV3Ym0OxMQ,Take-out,True
usSROUMiAgPcxV3Ym0OxMQ,Wi-Fi,free
usSROUMiAgPcxV3Ym0OxMQ,Caters,False
usSROUMiAgPcxV3Ym0OxMQ,Noise Level,average
usSROUMiAgPcxV3Ym0OxMQ,Takes Reservations,True
usSROUMiAgPcxV3Ym0OxMQ,Has TV,True
usSROUMiAgPcxV3Ym0OxMQ,Delivery,False
usSROUMiAgPcxV3Ym0OxMQ,Wheelchair Accessible,True
usSROUMiAgPcxV3Ym0OxMQ,Outdoor Seating,True
usSROUMiAgPcxV3Ym0OxMQ,Attire,casual
usSROUMiAgPcxV3Ym0OxMQ,Alcohol,full_bar
usSROUMiAgPcxV3Ym0OxMQ,Waiter Service,True
usSROUMiAgPcxV3Ym0OxMQ,Accepts Credit Cards,True
usSROUMiAgPcxV3Ym0OxMQ,Good for Kids,True
usSROUMiAgPcxV3Ym0OxMQ,Good For Groups,True
usSROUMiAgPcxV3Ym0OxMQ,Price Range,3
qfL7ZFkxqDZOPIaVVfT3Aw,Accepts Credit Cards,True
qfL7ZFkxqDZOPIaVVfT3Aw,Price Range,2
GlYPVYSOVT7zn00Kk_Oz4g,Accepts Credit Cards,True
GlYPVYSOVT7zn00Kk_Oz4g,Wheelchair Accessible,True
GlYPVYSOVT7zn00Kk_Oz4g,Price Range,3
WaHXyBwljbKNPmmJZn5j8Q,Accepts Credit Cards,True
WaHXyBwljbKNPmmJZn5j8Q,Price Range,2
bCw9HKDFLU_PppnNg-nIlw,Accepts Credit Cards,True
bCw9HKDFLU_PppnNg-nIlw,Price Range,2
CL3tZqbYT7B5zgewKCS6-Q,Delivery,False
CL3tZqbYT7B5zgewKCS6-Q,Take-out,False
CL3tZqbYT7B5zgewKCS6-Q,Accepts Credit Cards,False
CL3tZqbYT7B5zgewKCS6-Q,Good for Kids,False
CL3tZqbYT7B5zgewKCS6-Q,Good For Groups,False
u22QDAON1kk0wjoTliyftw,Take-out,True
u22QDAON1kk0wjoTliyftw,Takes Reservations,False
u22QDAON1kk0wjoTliyftw,Delivery,False
u22QDAON1kk0wjoTliyftw,Attire,casual
u22QDAON1kk0wjoTliyftw,Accepts Credit Cards,False
u22QDAON1kk0wjoTliyftw,Good for Kids,True
u22QDAON1kk0wjoTliyftw,Good For Groups,True
u22QDAON1kk0wjoTliyftw,Price Range,1
4ykgzzzGEWjMD5lwk1-l9A,Good for Kids,True
4ykgzzzGEWjMD5lwk1-l9A,Accepts Credit Cards,True
4ykgzzzGEWjMD5lwk1-l9A,Wheelchair Accessible,True
4ykgzzzGEWjMD5lwk1-l9A,Price Range,3
53Yk2EODWnV9qHQECzeHVQ,Take-out,True
53Yk2EODWnV9qHQECzeHVQ,Noise Level,quiet
53Yk2EODWnV9qHQECzeHVQ,Takes Reservations,False
53Yk2EODWnV9qHQECzeHVQ,Delivery,True
53Yk2EODWnV9qHQECzeHVQ,Has TV,False
53Yk2EODWnV9qHQECzeHVQ,Outdoor Seating,False
53Yk2EODWnV9qHQECzeHVQ,Attire,casual
53Yk2EODWnV9qHQECzeHVQ,Alcohol,none
53Yk2EODWnV9qHQECzeHVQ,Waiter Service,False
53Yk2EODWnV9qHQECzeHVQ,Wi-Fi,no
53Yk2EODWnV9qHQECzeHVQ,Good for Kids,True
53Yk2EODWnV9qHQECzeHVQ,Good For Groups,False
53Yk2EODWnV9qHQECzeHVQ,Price Range,1
iBZRphMDFcS2aMbawc1OvA,Take-out,True
iBZRphMDFcS2aMbawc1OvA,Wi-Fi,no
iBZRphMDFcS2aMbawc1OvA,Caters,False
iBZRphMDFcS2aMbawc1OvA,Noise Level,quiet
iBZRphMDFcS2aMbawc1OvA,Takes Reservations,False
iBZRphMDFcS2aMbawc1OvA,Delivery,False
iBZRphMDFcS2aMbawc1OvA,Has TV,False
iBZRphMDFcS2aMbawc1OvA,Outdoor Seating,False
iBZRphMDFcS2aMbawc1OvA,Attire,casual
iBZRphMDFcS2aMbawc1OvA,Alcohol,none
iBZRphMDFcS2aMbawc1OvA,Waiter Service,False
iBZRphMDFcS2aMbawc1OvA,Accepts Credit Cards,False
iBZRphMDFcS2aMbawc1OvA,Good for Kids,True
iBZRphMDFcS2aMbawc1OvA,Good For Groups,True
iBZRphMDFcS2aMbawc1OvA,Price Range,1
hnHt6EinzC-IX6y3GSF7jw,Accepts Credit Cards,True
hnHt6EinzC-IX6y3GSF7jw,Price Range,2
LiMXTPwanF3LkkKHklFCjw,Accepts Credit Cards,True
GJAv1nAfnHuab8oRyr8mXg,Take-out,True
GJAv1nAfnHuab8oRyr8mXg,Wi-Fi,no
GJAv1nAfnHuab8oRyr8mXg,Caters,False
GJAv1nAfnHuab8oRyr8mXg,Noise Level,average
GJAv1nAfnHuab8oRyr8mXg,Takes Reservations,False
GJAv1nAfnHuab8oRyr8mXg,Has TV,False
GJAv1nAfnHuab8oRyr8mXg,Delivery,False
GJAv1nAfnHuab8oRyr8mXg,Dogs Allowed,False
GJAv1nAfnHuab8oRyr8mXg,Wheelchair Accessible,True
GJAv1nAfnHuab8oRyr8mXg,Outdoor Seating,False
GJAv1nAfnHuab8oRyr8mXg,Attire,casual
GJAv1nAfnHuab8oRyr8mXg,Alcohol,none
GJAv1nAfnHuab8oRyr8mXg,Waiter Service,True
GJAv1nAfnHuab8oRyr8mXg,Accepts Credit Cards,True
GJAv1nAfnHuab8oRyr8mXg,Good for Kids,True
GJAv1nAfnHuab8oRyr8mXg,Good For Groups,True
GJAv1nAfnHuab8oRyr8mXg,Price Range,1
r8BwdblCW-ZUES37BL0khw,Take-out,True
r8BwdblCW-ZUES37BL0khw,Wi-Fi,free
r8BwdblCW-ZUES37BL0khw,Drive-Thru,False
r8BwdblCW-ZUES37BL0khw,Caters,True
r8BwdblCW-ZUES37BL0khw,Noise Level,average
r8BwdblCW-ZUES37BL0khw,Takes Reservations,False
r8BwdblCW-ZUES37BL0khw,Delivery,False
r8BwdblCW-ZUES37BL0khw,Dogs Allowed,False
r8BwdblCW-ZUES37BL0khw,Has TV,False
r8BwdblCW-ZUES37BL0khw,Outdoor Seating,False
r8BwdblCW-ZUES37BL0khw,Attire,casual
r8BwdblCW-ZUES37BL0khw,Alcohol,none
r8BwdblCW-ZUES37BL0khw,Waiter Service,True
r8BwdblCW-ZUES37BL0khw,Accepts Credit Cards,True
r8BwdblCW-ZUES37BL0khw,Good for Kids,True
r8BwdblCW-ZUES37BL0khw,Good For Groups,True
r8BwdblCW-ZUES37BL0khw,Price Range,1
mIiHJkpK8nZvW_45LlhrbA,Take-out,True
mIiHJkpK8nZvW_45LlhrbA,Noise Level,quiet
mIiHJkpK8nZvW_45LlhrbA,Takes Reservations,False
mIiHJkpK8nZvW_45LlhrbA,Delivery,True
mIiHJkpK8nZvW_45LlhrbA,Has TV,False
mIiHJkpK8nZvW_45LlhrbA,Outdoor Seating,False
mIiHJkpK8nZvW_45LlhrbA,Attire,casual
mIiHJkpK8nZvW_45LlhrbA,Alcohol,none
mIiHJkpK8nZvW_45LlhrbA,Waiter Service,False
mIiHJkpK8nZvW_45LlhrbA,Accepts Credit Cards,False
mIiHJkpK8nZvW_45LlhrbA,Good for Kids,True
mIiHJkpK8nZvW_45LlhrbA,Good For Groups,True
mIiHJkpK8nZvW_45LlhrbA,Price Range,2
bN3jIkPqbqroQJteJsC2uw,By Appointment Only,False
bN3jIkPqbqroQJteJsC2uw,Accepts Credit Cards,True
bN3jIkPqbqroQJteJsC2uw,Wheelchair Accessible,True
bN3jIkPqbqroQJteJsC2uw,Price Range,2
OZfpG8tDCcIEq8pzgZdyKw,Take-out,True
OZfpG8tDCcIEq8pzgZdyKw,Drive-Thru,False
OZfpG8tDCcIEq8pzgZdyKw,Good For Dancing,False
OZfpG8tDCcIEq8pzgZdyKw,Takes Reservations,False
OZfpG8tDCcIEq8pzgZdyKw,Has TV,True
OZfpG8tDCcIEq8pzgZdyKw,Delivery,False
OZfpG8tDCcIEq8pzgZdyKw,Happy Hour,True
OZfpG8tDCcIEq8pzgZdyKw,Wheelchair Accessible,True
OZfpG8tDCcIEq8pzgZdyKw,Outdoor Seating,False
OZfpG8tDCcIEq8pzgZdyKw,Attire,casual
OZfpG8tDCcIEq8pzgZdyKw,Alcohol,full_bar
OZfpG8tDCcIEq8pzgZdyKw,Waiter Service,True
OZfpG8tDCcIEq8pzgZdyKw,Accepts Credit Cards,True
OZfpG8tDCcIEq8pzgZdyKw,Good for Kids,True
OZfpG8tDCcIEq8pzgZdyKw,Good For Groups,True
OZfpG8tDCcIEq8pzgZdyKw,Price Range,2
OSYHPhvDWMqBRDZblqGiZA,Accepts Credit Cards,True
OSYHPhvDWMqBRDZblqGiZA,Price Range,2
8Nm_jcCYtMXYW0ODSHDiXA,Take-out,True
8Nm_jcCYtMXYW0ODSHDiXA,Wi-Fi,no
8Nm_jcCYtMXYW0ODSHDiXA,Caters,True
8Nm_jcCYtMXYW0ODSHDiXA,Noise Level,quiet
8Nm_jcCYtMXYW0ODSHDiXA,Takes Reservations,True
8Nm_jcCYtMXYW0ODSHDiXA,Has TV,True
8Nm_jcCYtMXYW0ODSHDiXA,Delivery,False
8Nm_jcCYtMXYW0ODSHDiXA,Wheelchair Accessible,True
8Nm_jcCYtMXYW0ODSHDiXA,Outdoor Seating,False
8Nm_jcCYtMXYW0ODSHDiXA,Attire,casual
8Nm_jcCYtMXYW0ODSHDiXA,Alcohol,full_bar
8Nm_jcCYtMXYW0ODSHDiXA,Waiter Service,True
8Nm_jcCYtMXYW0ODSHDiXA,Accepts Credit Cards,True
8Nm_jcCYtMXYW0ODSHDiXA,Good for Kids,True
8Nm_jcCYtMXYW0ODSHDiXA,Good For Groups,True
8Nm_jcCYtMXYW0ODSHDiXA,Price Range,3
9tAbTDdYTASHL7EU1e-OWw,Accepts Credit Cards,True
9tAbTDdYTASHL7EU1e-OWw,Wheelchair Accessible,True
9tAbTDdYTASHL7EU1e-OWw,Price Range,1
imM-x_nAxVtYGVFJJ4FS3Q,Delivery,True
imM-x_nAxVtYGVFJJ4FS3Q,Accepts Credit Cards,True
imM-x_nAxVtYGVFJJ4FS3Q,Price Range,2
T49ZvBa6mD4xHSmjHe-ArA,Take-out,True
T49ZvBa6mD4xHSmjHe-ArA,Wi-Fi,no
T49ZvBa6mD4xHSmjHe-ArA,Noise Level,average
T49ZvBa6mD4xHSmjHe-ArA,Takes Reservations,False
T49ZvBa6mD4xHSmjHe-ArA,Has TV,False
T49ZvBa6mD4xHSmjHe-ArA,Delivery,True
T49ZvBa6mD4xHSmjHe-ArA,Wheelchair Accessible,True
T49ZvBa6mD4xHSmjHe-ArA,Outdoor Seating,False
T49ZvBa6mD4xHSmjHe-ArA,Attire,casual
T49ZvBa6mD4xHSmjHe-ArA,Alcohol,none
T49ZvBa6mD4xHSmjHe-ArA,Waiter Service,False
T49ZvBa6mD4xHSmjHe-ArA,Accepts Credit Cards,True
T49ZvBa6mD4xHSmjHe-ArA,Good for Kids,True
T49ZvBa6mD4xHSmjHe-ArA,Good For Groups,False
T49ZvBa6mD4xHSmjHe-ArA,Price Range,1
eOv0Dbq2E8sd0CKMAqTImw,Take-out,True
eOv0Dbq2E8sd0CKMAqTImw,Noise Level,average
eOv0Dbq2E8sd0CKMAqTImw,Takes Reservations,False
eOv0Dbq2E8sd0CKMAqTImw,Delivery,True
eOv0Dbq2E8sd0CKMAqTImw,Has TV,False
eOv0Dbq2E8sd0CKMAqTImw,Outdoor Seating,False
eOv0Dbq2E8sd0CKMAqTImw,Attire,casual
eOv0Dbq2E8sd0CKMAqTImw,Alcohol,none
eOv0Dbq2E8sd0CKMAqTImw,Waiter Service,True
eOv0Dbq2E8sd0CKMAqTImw,Accepts Credit Cards,True
eOv0Dbq2E8sd0CKMAqTImw,Good for Kids,True
eOv0Dbq2E8sd0CKMAqTImw,Good For Groups,True
eOv0Dbq2E8sd0CKMAqTImw,Price Range,2
