business_id,Good For,value
5UmKMjUEUNdYWqANhGckJw,dessert,False
5UmKMjUEUNdYWqANhGckJw,latenight,False
5UmKMjUEUNdYWqANhGckJw,lunch,False
5UmKMjUEUNdYWqANhGckJw,dinner,False
5UmKMjUEUNdYWqANhGckJw,brunch,False
5UmKMjUEUNdYWqANhGckJw,breakfast,False
mVHrayjG3uZ_RLHkLj-AMg,dessert,False
mVHrayjG3uZ_RLHkLj-AMg,latenight,False
mVHrayjG3uZ_RLHkLj-AMg,lunch,True
mVHrayjG3uZ_RLHkLj-AMg,dinner,False
mVHrayjG3uZ_RLHkLj-AMg,breakfast,False
mVHrayjG3uZ_RLHkLj-AMg,brunch,False
KayYbHCt-RkbGcPdGOThNg,dessert,False
KayYbHCt-RkbGcPdGOThNg,latenight,False
KayYbHCt-RkbGcPdGOThNg,lunch,False
KayYbHCt-RkbGcPdGOThNg,dinner,True
KayYbHCt-RkbGcPdGOThNg,brunch,False
KayYbHCt-RkbGcPdGOThNg,breakfast,False
wJr6kSA5dchdgOdwH6dZ2w,dessert,False
wJr6kSA5dchdgOdwH6dZ2w,latenight,False
wJr6kSA5dchdgOdwH6dZ2w,lunch,False
wJr6kSA5dchdgOdwH6dZ2w,dinner,False
wJr6kSA5dchdgOdwH6dZ2w,brunch,False
wJr6kSA5dchdgOdwH6dZ2w,breakfast,False
fNGIbpazjTRdXgwRY_NIXA,dessert,False
fNGIbpazjTRdXgwRY_NIXA,latenight,False
fNGIbpazjTRdXgwRY_NIXA,lunch,False
fNGIbpazjTRdXgwRY_NIXA,dinner,False
fNGIbpazjTRdXgwRY_NIXA,brunch,False
fNGIbpazjTRdXgwRY_NIXA,breakfast,False
b9WZJp5L1RZr4F1nxclOoQ,dessert,False
b9WZJp5L1RZr4F1nxclOoQ,latenight,False
b9WZJp5L1RZr4F1nxclOoQ,lunch,False
b9WZJp5L1RZr4F1nxclOoQ,dinner,False
b9WZJp5L1RZr4F1nxclOoQ,brunch,False
b9WZJp5L1RZr4F1nxclOoQ,breakfast,True
zaXDakTd3RXyOa7sMrUE1g,dessert,False
zaXDakTd3RXyOa7sMrUE1g,latenight,False
zaXDakTd3RXyOa7sMrUE1g,lunch,False
zaXDakTd3RXyOa7sMrUE1g,dinner,False
zaXDakTd3RXyOa7sMrUE1g,breakfast,False
zaXDakTd3RXyOa7sMrUE1g,brunch,True
WETE_LykpcnrC1sFcQ5EGg,dessert,False
WETE_LykpcnrC1sFcQ5EGg,latenight,True
WETE_LykpcnrC1sFcQ5EGg,lunch,False
WETE_LykpcnrC1sFcQ5EGg,dinner,True
WETE_LykpcnrC1sFcQ5EGg,brunch,False
WETE_LykpcnrC1sFcQ5EGg,breakfast,False
wqu7ILomIOPSduRwoWp4AQ,dessert,False
wqu7ILomIOPSduRwoWp4AQ,latenight,False
wqu7ILomIOPSduRwoWp4AQ,lunch,False
wqu7ILomIOPSduRwoWp4AQ,dinner,False
wqu7ILomIOPSduRwoWp4AQ,breakfast,False
wqu7ILomIOPSduRwoWp4AQ,brunch,True
P1fJb2WQ1mXoiudj8UE44w,dessert,False
P1fJb2WQ1mXoiudj8UE44w,latenight,False
P1fJb2WQ1mXoiudj8UE44w,lunch,False
P1fJb2WQ1mXoiudj8UE44w,dinner,True
P1fJb2WQ1mXoiudj8UE44w,brunch,False
P1fJb2WQ1mXoiudj8UE44w,breakfast,False
6ilJq_05xRgek_8qUp36-g,dessert,False
6ilJq_05xRgek_8qUp36-g,latenight,True
6ilJq_05xRgek_8qUp36-g,lunch,False
6ilJq_05xRgek_8qUp36-g,dinner,False
6ilJq_05xRgek_8qUp36-g,breakfast,False
6ilJq_05xRgek_8qUp36-g,brunch,False
MKyk4F4HSzHF8v-4cYe3Ww,dessert,False
MKyk4F4HSzHF8v-4cYe3Ww,latenight,True
MKyk4F4HSzHF8v-4cYe3Ww,lunch,False
MKyk4F4HSzHF8v-4cYe3Ww,dinner,False
MKyk4F4HSzHF8v-4cYe3Ww,brunch,False
MKyk4F4HSzHF8v-4cYe3Ww,breakfast,False
1qCuOcks5HRv67OHovAVpg,dessert,False
1qCuOcks5HRv67OHovAVpg,latenight,False
1qCuOcks5HRv67OHovAVpg,lunch,True
1qCuOcks5HRv67OHovAVpg,dinner,False
1qCuOcks5HRv67OHovAVpg,breakfast,False
1qCuOcks5HRv67OHovAVpg,brunch,False
sbW8qHJgzEIH42B0S-3New,dessert,False
sbW8qHJgzEIH42B0S-3New,latenight,True
sbW8qHJgzEIH42B0S-3New,lunch,False
sbW8qHJgzEIH42B0S-3New,dinner,False
sbW8qHJgzEIH42B0S-3New,brunch,False
sbW8qHJgzEIH42B0S-3New,breakfast,False
W7ysp8GLCBrs0GXIVwAcBQ,dessert,False
W7ysp8GLCBrs0GXIVwAcBQ,latenight,False
W7ysp8GLCBrs0GXIVwAcBQ,lunch,False
W7ysp8GLCBrs0GXIVwAcBQ,dinner,False
W7ysp8GLCBrs0GXIVwAcBQ,brunch,False
W7ysp8GLCBrs0GXIVwAcBQ,breakfast,False
McikHxxEqZ2X0joaRNKlaw,dessert,False
McikHxxEqZ2X0joaRNKlaw,latenight,False
McikHxxEqZ2X0joaRNKlaw,lunch,False
McikHxxEqZ2X0joaRNKlaw,dinner,True
McikHxxEqZ2X0joaRNKlaw,breakfast,False
McikHxxEqZ2X0joaRNKlaw,brunch,False
EoAY1JSVeJriBzId8lUQwQ,dessert,False
EoAY1JSVeJriBzId8lUQwQ,latenight,False
EoAY1JSVeJriBzId8lUQwQ,lunch,False
EoAY1JSVeJriBzId8lUQwQ,dinner,True
EoAY1JSVeJriBzId8lUQwQ,breakfast,False
EoAY1JSVeJriBzId8lUQwQ,brunch,False
TfvWSIAMFZ9zI3y2-K6wOA,dessert,False
TfvWSIAMFZ9zI3y2-K6wOA,latenight,False
TfvWSIAMFZ9zI3y2-K6wOA,lunch,False
TfvWSIAMFZ9zI3y2-K6wOA,dinner,False
TfvWSIAMFZ9zI3y2-K6wOA,brunch,False
TfvWSIAMFZ9zI3y2-K6wOA,breakfast,False
tU-YtoW339PXJmUGSix_AQ,dessert,True
tU-YtoW339PXJmUGSix_AQ,latenight,False
tU-YtoW339PXJmUGSix_AQ,lunch,False
tU-YtoW339PXJmUGSix_AQ,dinner,False
tU-YtoW339PXJmUGSix_AQ,breakfast,False
tU-YtoW339PXJmUGSix_AQ,brunch,False
6p9TlP2I8S4agxYMNFSDjg,dessert,False
6p9TlP2I8S4agxYMNFSDjg,latenight,False
6p9TlP2I8S4agxYMNFSDjg,lunch,False
6p9TlP2I8S4agxYMNFSDjg,dinner,True
6p9TlP2I8S4agxYMNFSDjg,breakfast,False
6p9TlP2I8S4agxYMNFSDjg,brunch,False
JDDeaNfb0JXD1NbznSIC9g,dessert,False
JDDeaNfb0JXD1NbznSIC9g,latenight,False
JDDeaNfb0JXD1NbznSIC9g,lunch,True
JDDeaNfb0JXD1NbznSIC9g,dinner,True
JDDeaNfb0JXD1NbznSIC9g,brunch,False
JDDeaNfb0JXD1NbznSIC9g,breakfast,False
FiXamVMgMf9U0VqFHDZSEA,dessert,False
FiXamVMgMf9U0VqFHDZSEA,latenight,False
FiXamVMgMf9U0VqFHDZSEA,lunch,False
FiXamVMgMf9U0VqFHDZSEA,dinner,False
FiXamVMgMf9U0VqFHDZSEA,breakfast,False
FiXamVMgMf9U0VqFHDZSEA,brunch,True
eznh0XjVtv924K-KYx_ilQ,dessert,True
eznh0XjVtv924K-KYx_ilQ,latenight,False
eznh0XjVtv924K-KYx_ilQ,lunch,False
eznh0XjVtv924K-KYx_ilQ,dinner,False
eznh0XjVtv924K-KYx_ilQ,breakfast,False
eznh0XjVtv924K-KYx_ilQ,brunch,True
usSROUMiAgPcxV3Ym0OxMQ,dessert,False
usSROUMiAgPcxV3Ym0OxMQ,latenight,False
usSROUMiAgPcxV3Ym0OxMQ,lunch,True
usSROUMiAgPcxV3Ym0OxMQ,dinner,True
usSROUMiAgPcxV3Ym0OxMQ,breakfast,False
usSROUMiAgPcxV3Ym0OxMQ,brunch,False
u22QDAON1kk0wjoTliyftw,dessert,False
u22QDAON1kk0wjoTliyftw,latenight,False
u22QDAON1kk0wjoTliyftw,lunch,False
u22QDAON1kk0wjoTliyftw,dinner,False
u22QDAON1kk0wjoTliyftw,brunch,False
u22QDAON1kk0wjoTliyftw,breakfast,False
53Yk2EODWnV9qHQECzeHVQ,dessert,False
53Yk2EODWnV9qHQECzeHVQ,latenight,False
53Yk2EODWnV9qHQECzeHVQ,lunch,False
53Yk2EODWnV9qHQECzeHVQ,dinner,False
53Yk2EODWnV9qHQECzeHVQ,brunch,False
53Yk2EODWnV9qHQECzeHVQ,breakfast,False
iBZRphMDFcS2aMbawc1OvA,dessert,False
iBZRphMDFcS2aMbawc1OvA,latenight,False
iBZRphMDFcS2aMbawc1OvA,lunch,False
iBZRphMDFcS2aMbawc1OvA,dinner,False
iBZRphMDFcS2aMbawc1OvA,brunch,False
iBZRphMDFcS2aMbawc1OvA,breakfast,False
GJAv1nAfnHuab8oRyr8mXg,dessert,False
GJAv1nAfnHuab8oRyr8mXg,latenight,False
GJAv1nAfnHuab8oRyr8mXg,lunch,False
GJAv1nAfnHuab8oRyr8mXg,dinner,False
GJAv1nAfnHuab8oRyr8mXg,breakfast,False
GJAv1nAfnHuab8oRyr8mXg,brunch,False
r8BwdblCW-ZUES37BL0khw,dessert,False
r8BwdblCW-ZUES37BL0khw,latenight,False
r8BwdblCW-ZUES37BL0khw,lunch,False
r8BwdblCW-ZUES37BL0khw,dinner,False
r8BwdblCW-ZUES37BL0khw,breakfast,False
r8BwdblCW-ZUES37BL0khw,brunch,True
mIiHJkpK8nZvW_45LlhrbA,dessert,False
mIiHJkpK8nZvW_45LlhrbA,latenight,False
mIiHJkpK8nZvW_45LlhrbA,lunch,False
mIiHJkpK8nZvW_45LlhrbA,dinner,False
mIiHJkpK8nZvW_45LlhrbA,brunch,False
mIiHJkpK8nZvW_45LlhrbA,breakfast,False
OZfpG8tDCcIEq8pzgZdyKw,dessert,False
OZfpG8tDCcIEq8pzgZdyKw,latenight,False
OZfpG8tDCcIEq8pzgZdyKw,lunch,False
OZfpG8tDCcIEq8pzgZdyKw,dinner,False
OZfpG8tDCcIEq8pzgZdyKw,breakfast,False
OZfpG8tDCcIEq8pzgZdyKw,brunch,False
8Nm_jcCYtMXYW0ODSHDiXA,dessert,False
8Nm_jcCYtMXYW0ODSHDiXA,latenight,False
8Nm_jcCYtMXYW0ODSHDiXA,lunch,False
8Nm_jcCYtMXYW0ODSHDiXA,dinner,False
8Nm_jcCYtMXYW0ODSHDiXA,brunch,False
8Nm_jcCYtMXYW0ODSHDiXA,breakfast,False
T49ZvBa6mD4xHSmjHe-ArA,dessert,False
T49ZvBa6mD4xHSmjHe-ArA,latenight,False
T49ZvBa6mD4xHSmjHe-ArA,lunch,False
T49ZvBa6mD4xHSmjHe-ArA,dinner,True
T49ZvBa6mD4xHSmjHe-ArA,brunch,False
T49ZvBa6mD4xHSmjHe-ArA,breakfast,False
eOv0Dbq2E8sd0CKMAqTImw,dessert,False
eOv0Dbq2E8sd0CKMAqTImw,latenight,False
eOv0Dbq2E8sd0CKMAqTImw,lunch,False
eOv0Dbq2E8sd0CKMAqTImw,dinner,False
eOv0Dbq2E8sd0CKMAqTImw,brunch,False
eOv0Dbq2E8sd0CKMAqTImw,breakfast,False
