business_id,Parking,value
5UmKMjUEUNdYWqANhGckJw,garage,False
5UmKMjUEUNdYWqANhGckJw,street,False
5UmKMjUEUNdYWqANhGckJw,validated,False
5UmKMjUEUNdYWqANhGckJw,lot,False
5UmKMjUEUNdYWqANhGckJw,valet,False
HZdLhv6COCleJMo7nPl-RA,garage,False
HZdLhv6COCleJMo7nPl-RA,street,False
HZdLhv6COCleJMo7nPl-RA,validated,False
HZdLhv6COCleJMo7nPl-RA,lot,False
HZdLhv6COCleJMo7nPl-RA,valet,False
mVHrayjG3uZ_RLHkLj-AMg,garage,False
mVHrayjG3uZ_RLHkLj-AMg,street,False
mVHrayjG3uZ_RLHkLj-AMg,validated,False
mVHrayjG3uZ_RLHkLj-AMg,lot,False
mVHrayjG3uZ_RLHkLj-AMg,valet,False
KayYbHCt-RkbGcPdGOThNg,garage,False
KayYbHCt-RkbGcPdGOThNg,street,False
KayYbHCt-RkbGcPdGOThNg,validated,False
KayYbHCt-RkbGcPdGOThNg,lot,True
KayYbHCt-RkbGcPdGOThNg,valet,False
wJr6kSA5dchdgOdwH6dZ2w,garage,False
wJr6kSA5dchdgOdwH6dZ2w,street,False
wJr6kSA5dchdgOdwH6dZ2w,validated,False
wJr6kSA5dchdgOdwH6dZ2w,lot,False
wJr6kSA5dchdgOdwH6dZ2w,valet,False
yXuao0pFz1AxB21vJjDf5w,garage,False
yXuao0pFz1AxB21vJjDf5w,street,False
yXuao0pFz1AxB21vJjDf5w,validated,False
yXuao0pFz1AxB21vJjDf5w,lot,True
yXuao0pFz1AxB21vJjDf5w,valet,False
fNGIbpazjTRdXgwRY_NIXA,garage,False
fNGIbpazjTRdXgwRY_NIXA,street,False
fNGIbpazjTRdXgwRY_NIXA,validated,False
fNGIbpazjTRdXgwRY_NIXA,lot,True
fNGIbpazjTRdXgwRY_NIXA,valet,False
b9WZJp5L1RZr4F1nxclOoQ,garage,False
b9WZJp5L1RZr4F1nxclOoQ,street,False
b9WZJp5L1RZr4F1nxclOoQ,validated,False
b9WZJp5L1RZr4F1nxclOoQ,lot,True
b9WZJp5L1RZr4F1nxclOoQ,valet,False
zaXDakTd3RXyOa7sMrUE1g,garage,False
zaXDakTd3RXyOa7sMrUE1g,street,False
zaXDakTd3RXyOa7sMrUE1g,validated,False
zaXDakTd3RXyOa7sMrUE1g,lot,False
zaXDakTd3RXyOa7sMrUE1g,valet,False
WETE_LykpcnrC1sFcQ5EGg,garage,False
WETE_LykpcnrC1sFcQ5EGg,street,True
WETE_LykpcnrC1sFcQ5EGg,validated,False
WETE_LykpcnrC1sFcQ5EGg,lot,False
WETE_LykpcnrC1sFcQ5EGg,valet,False
rv7CY8G_XibTx82YhuqQRw,garage,False
rv7CY8G_XibTx82YhuqQRw,street,False
rv7CY8G_XibTx82YhuqQRw,validated,False
rv7CY8G_XibTx82YhuqQRw,lot,False
rv7CY8G_XibTx82YhuqQRw,valet,False
SQ0j7bgSTazkVQlF5AnqyQ,garage,False
SQ0j7bgSTazkVQlF5AnqyQ,street,False
SQ0j7bgSTazkVQlF5AnqyQ,validated,False
SQ0j7bgSTazkVQlF5AnqyQ,lot,False
SQ0j7bgSTazkVQlF5AnqyQ,valet,False
wqu7ILomIOPSduRwoWp4AQ,garage,False
wqu7ILomIOPSduRwoWp4AQ,street,False
wqu7ILomIOPSduRwoWp4AQ,validated,False
wqu7ILomIOPSduRwoWp4AQ,lot,False
wqu7ILomIOPSduRwoWp4AQ,valet,False
P1fJb2WQ1mXoiudj8UE44w,garage,False
P1fJb2WQ1mXoiudj8UE44w,street,True
P1fJb2WQ1mXoiudj8UE44w,validated,False
P1fJb2WQ1mXoiudj8UE44w,lot,True
P1fJb2WQ1mXoiudj8UE44w,valet,False
3gmBc0qN_LtGbZAjTtHWZg,garage,False
3gmBc0qN_LtGbZAjTtHWZg,street,True
3gmBc0qN_LtGbZAjTtHWZg,validated,False
3gmBc0qN_LtGbZAjTtHWZg,lot,False
3gmBc0qN_LtGbZAjTtHWZg,valet,False
yHTLTr-QN-loO_7XoxS8qg,garage,False
yHTLTr-QN-loO_7XoxS8qg,street,True
yHTLTr-QN-loO_7XoxS8qg,validated,False
yHTLTr-QN-loO_7XoxS8qg,lot,True
yHTLTr-QN-loO_7XoxS8qg,valet,False
iQLLIdmJSt6LQHSjpZERLA,garage,False
iQLLIdmJSt6LQHSjpZERLA,street,False
iQLLIdmJSt6LQHSjpZERLA,validated,False
iQLLIdmJSt6LQHSjpZERLA,lot,False
iQLLIdmJSt6LQHSjpZERLA,valet,False
6ilJq_05xRgek_8qUp36-g,garage,False
6ilJq_05xRgek_8qUp36-g,street,False
6ilJq_05xRgek_8qUp36-g,validated,False
6ilJq_05xRgek_8qUp36-g,lot,True
6ilJq_05xRgek_8qUp36-g,valet,False
57HN9fGRar_GckBmgHgemA,garage,False
57HN9fGRar_GckBmgHgemA,street,False
57HN9fGRar_GckBmgHgemA,validated,False
57HN9fGRar_GckBmgHgemA,lot,False
57HN9fGRar_GckBmgHgemA,valet,False
MKyk4F4HSzHF8v-4cYe3Ww,garage,False
MKyk4F4HSzHF8v-4cYe3Ww,street,False
MKyk4F4HSzHF8v-4cYe3Ww,validated,False
MKyk4F4HSzHF8v-4cYe3Ww,lot,True
MKyk4F4HSzHF8v-4cYe3Ww,valet,False
gClSqcwuLsgyZRCzhJc7Dg,garage,False
gClSqcwuLsgyZRCzhJc7Dg,street,False
gClSqcwuLsgyZRCzhJc7Dg,validated,False
gClSqcwuLsgyZRCzhJc7Dg,lot,True
gClSqcwuLsgyZRCzhJc7Dg,valet,False
1qCuOcks5HRv67OHovAVpg,garage,False
1qCuOcks5HRv67OHovAVpg,street,True
1qCuOcks5HRv67OHovAVpg,validated,False
1qCuOcks5HRv67OHovAVpg,lot,True
1qCuOcks5HRv67OHovAVpg,valet,False
sbW8qHJgzEIH42B0S-3New,garage,False
sbW8qHJgzEIH42B0S-3New,street,False
sbW8qHJgzEIH42B0S-3New,validated,False
sbW8qHJgzEIH42B0S-3New,lot,True
sbW8qHJgzEIH42B0S-3New,valet,False
W7ysp8GLCBrs0GXIVwAcBQ,garage,False
W7ysp8GLCBrs0GXIVwAcBQ,street,False
W7ysp8GLCBrs0GXIVwAcBQ,validated,False
W7ysp8GLCBrs0GXIVwAcBQ,lot,False
W7ysp8GLCBrs0GXIVwAcBQ,valet,False
McikHxxEqZ2X0joaRNKlaw,garage,False
McikHxxEqZ2X0joaRNKlaw,street,False
McikHxxEqZ2X0joaRNKlaw,validated,False
McikHxxEqZ2X0joaRNKlaw,lot,True
McikHxxEqZ2X0joaRNKlaw,valet,False
tv8cS4aaA1VDaInYgggb6g,garage,False
tv8cS4aaA1VDaInYgggb6g,street,True
tv8cS4aaA1VDaInYgggb6g,validated,False
tv8cS4aaA1VDaInYgggb6g,lot,True
tv8cS4aaA1VDaInYgggb6g,valet,False
eT5Ck7Gg1dBJobca9VFovw,garage,False
eT5Ck7Gg1dBJobca9VFovw,street,False
eT5Ck7Gg1dBJobca9VFovw,validated,False
eT5Ck7Gg1dBJobca9VFovw,lot,True
eT5Ck7Gg1dBJobca9VFovw,valet,False
HwwEfnZKLNOUoqfgcwAgcQ,garage,False
HwwEfnZKLNOUoqfgcwAgcQ,street,True
HwwEfnZKLNOUoqfgcwAgcQ,validated,False
HwwEfnZKLNOUoqfgcwAgcQ,lot,False
HwwEfnZKLNOUoqfgcwAgcQ,valet,False
EoAY1JSVeJriBzId8lUQwQ,garage,False
EoAY1JSVeJriBzId8lUQwQ,street,False
EoAY1JSVeJriBzId8lUQwQ,validated,False
EoAY1JSVeJriBzId8lUQwQ,lot,True
EoAY1JSVeJriBzId8lUQwQ,valet,False
Y4CcDDyMoDpK7BbpKawWjw,garage,False
Y4CcDDyMoDpK7BbpKawWjw,street,True
Y4CcDDyMoDpK7BbpKawWjw,validated,False
Y4CcDDyMoDpK7BbpKawWjw,lot,False
Y4CcDDyMoDpK7BbpKawWjw,valet,False
TfvWSIAMFZ9zI3y2-K6wOA,garage,False
TfvWSIAMFZ9zI3y2-K6wOA,street,False
TfvWSIAMFZ9zI3y2-K6wOA,validated,False
TfvWSIAMFZ9zI3y2-K6wOA,lot,False
TfvWSIAMFZ9zI3y2-K6wOA,valet,False
6p9TlP2I8S4agxYMNFSDjg,garage,False
6p9TlP2I8S4agxYMNFSDjg,street,False
6p9TlP2I8S4agxYMNFSDjg,validated,False
6p9TlP2I8S4agxYMNFSDjg,lot,True
6p9TlP2I8S4agxYMNFSDjg,valet,False
Eu3Iwje0YY8ectr-CxMgqg,garage,False
Eu3Iwje0YY8ectr-CxMgqg,street,False
Eu3Iwje0YY8ectr-CxMgqg,validated,False
Eu3Iwje0YY8ectr-CxMgqg,lot,False
Eu3Iwje0YY8ectr-CxMgqg,valet,False
XhbC5Qj5nBcqcKLPRd8izQ,garage,False
XhbC5Qj5nBcqcKLPRd8izQ,street,True
XhbC5Qj5nBcqcKLPRd8izQ,validated,False
XhbC5Qj5nBcqcKLPRd8izQ,lot,False
XhbC5Qj5nBcqcKLPRd8izQ,valet,False
FituZ4jYzRe41ac9uvcHaQ,garage,True
FituZ4jYzRe41ac9uvcHaQ,street,False
FituZ4jYzRe41ac9uvcHaQ,validated,False
FituZ4jYzRe41ac9uvcHaQ,lot,False
FituZ4jYzRe41ac9uvcHaQ,valet,False
JDDeaNfb0JXD1NbznSIC9g,garage,False
JDDeaNfb0JXD1NbznSIC9g,street,False
JDDeaNfb0JXD1NbznSIC9g,validated,False
JDDeaNfb0JXD1NbznSIC9g,lot,True
JDDeaNfb0JXD1NbznSIC9g,valet,False
oPX8bpZ3dqviYQuic0Ahqw,garage,False
oPX8bpZ3dqviYQuic0Ahqw,street,False
oPX8bpZ3dqviYQuic0Ahqw,validated,False
oPX8bpZ3dqviYQuic0Ahqw,lot,True
oPX8bpZ3dqviYQuic0Ahqw,valet,False
FiXamVMgMf9U0VqFHDZSEA,garage,False
FiXamVMgMf9U0VqFHDZSEA,street,False
FiXamVMgMf9U0VqFHDZSEA,validated,False
FiXamVMgMf9U0VqFHDZSEA,lot,True
FiXamVMgMf9U0VqFHDZSEA,valet,False
ISKLP0qxApATxRlUDob6Cg,garage,False
ISKLP0qxApATxRlUDob6Cg,street,False
ISKLP0qxApATxRlUDob6Cg,validated,False
ISKLP0qxApATxRlUDob6Cg,lot,True
ISKLP0qxApATxRlUDob6Cg,valet,False
DMy5IG-dNrH4ARk96KngEA,garage,False
DMy5IG-dNrH4ARk96KngEA,street,False
DMy5IG-dNrH4ARk96KngEA,validated,False
DMy5IG-dNrH4ARk96KngEA,lot,False
DMy5IG-dNrH4ARk96KngEA,valet,False
uLnDFdn011hEroQQMLmxNQ,garage,False
uLnDFdn011hEroQQMLmxNQ,street,False
uLnDFdn011hEroQQMLmxNQ,validated,False
uLnDFdn011hEroQQMLmxNQ,lot,False
uLnDFdn011hEroQQMLmxNQ,valet,False
rdATJvFQK4C73NIQ3zoY3w,garage,False
rdATJvFQK4C73NIQ3zoY3w,street,False
rdATJvFQK4C73NIQ3zoY3w,validated,False
rdATJvFQK4C73NIQ3zoY3w,lot,True
rdATJvFQK4C73NIQ3zoY3w,valet,False
g10zmpUzmMJOOIjj_JJPvg,garage,False
g10zmpUzmMJOOIjj_JJPvg,street,False
g10zmpUzmMJOOIjj_JJPvg,validated,False
g10zmpUzmMJOOIjj_JJPvg,lot,True
g10zmpUzmMJOOIjj_JJPvg,valet,False
eznh0XjVtv924K-KYx_ilQ,garage,False
eznh0XjVtv924K-KYx_ilQ,street,False
eznh0XjVtv924K-KYx_ilQ,validated,False
eznh0XjVtv924K-KYx_ilQ,lot,True
eznh0XjVtv924K-KYx_ilQ,valet,False
LQFWH1AKJlXGmEBlIKsBCw,garage,False
LQFWH1AKJlXGmEBlIKsBCw,street,False
LQFWH1AKJlXGmEBlIKsBCw,validated,False
LQFWH1AKJlXGmEBlIKsBCw,lot,False
LQFWH1AKJlXGmEBlIKsBCw,valet,False
LO2CjrNL8DXkvm9uALgRjQ,garage,False
LO2CjrNL8DXkvm9uALgRjQ,street,False
LO2CjrNL8DXkvm9uALgRjQ,validated,False
LO2CjrNL8DXkvm9uALgRjQ,lot,False
LO2CjrNL8DXkvm9uALgRjQ,valet,False
usSROUMiAgPcxV3Ym0OxMQ,garage,False
usSROUMiAgPcxV3Ym0OxMQ,street,False
usSROUMiAgPcxV3Ym0OxMQ,validated,False
usSROUMiAgPcxV3Ym0OxMQ,lot,True
usSROUMiAgPcxV3Ym0OxMQ,valet,False
qfL7ZFkxqDZOPIaVVfT3Aw,garage,False
qfL7ZFkxqDZOPIaVVfT3Aw,street,False
qfL7ZFkxqDZOPIaVVfT3Aw,validated,False
qfL7ZFkxqDZOPIaVVfT3Aw,lot,True
qfL7ZFkxqDZOPIaVVfT3Aw,valet,False
GlYPVYSOVT7zn00Kk_Oz4g,garage,False
GlYPVYSOVT7zn00Kk_Oz4g,street,False
GlYPVYSOVT7zn00Kk_Oz4g,validated,False
GlYPVYSOVT7zn00Kk_Oz4g,lot,True
GlYPVYSOVT7zn00Kk_Oz4g,valet,False
WaHXyBwljbKNPmmJZn5j8Q,garage,False
WaHXyBwljbKNPmmJZn5j8Q,street,False
WaHXyBwljbKNPmmJZn5j8Q,validated,False
WaHXyBwljbKNPmmJZn5j8Q,lot,False
WaHXyBwljbKNPmmJZn5j8Q,valet,False
bCw9HKDFLU_PppnNg-nIlw,garage,False
bCw9HKDFLU_PppnNg-nIlw,street,False
bCw9HKDFLU_PppnNg-nIlw,validated,False
bCw9HKDFLU_PppnNg-nIlw,lot,False
bCw9HKDFLU_PppnNg-nIlw,valet,False
u22QDAON1kk0wjoTliyftw,garage,False
u22QDAON1kk0wjoTliyftw,street,False
u22QDAON1kk0wjoTliyftw,validated,False
u22QDAON1kk0wjoTliyftw,lot,False
u22QDAON1kk0wjoTliyftw,valet,False
4ykgzzzGEWjMD5lwk1-l9A,garage,False
4ykgzzzGEWjMD5lwk1-l9A,street,False
4ykgzzzGEWjMD5lwk1-l9A,validated,False
4ykgzzzGEWjMD5lwk1-l9A,lot,True
4ykgzzzGEWjMD5lwk1-l9A,valet,False
53Yk2EODWnV9qHQECzeHVQ,garage,False
53Yk2EODWnV9qHQECzeHVQ,street,False
53Yk2EODWnV9qHQECzeHVQ,validated,False
53Yk2EODWnV9qHQECzeHVQ,lot,False
53Yk2EODWnV9qHQECzeHVQ,valet,False
hnHt6EinzC-IX6y3GSF7jw,garage,False
hnHt6EinzC-IX6y3GSF7jw,street,True
hnHt6EinzC-IX6y3GSF7jw,validated,False
hnHt6EinzC-IX6y3GSF7jw,lot,False
hnHt6EinzC-IX6y3GSF7jw,valet,False
GJAv1nAfnHuab8oRyr8mXg,garage,False
GJAv1nAfnHuab8oRyr8mXg,street,False
GJAv1nAfnHuab8oRyr8mXg,validated,False
GJAv1nAfnHuab8oRyr8mXg,lot,True
GJAv1nAfnHuab8oRyr8mXg,valet,False
r8BwdblCW-ZUES37BL0khw,garage,False
r8BwdblCW-ZUES37BL0khw,street,True
r8BwdblCW-ZUES37BL0khw,validated,False
r8BwdblCW-ZUES37BL0khw,lot,True
r8BwdblCW-ZUES37BL0khw,valet,False
mIiHJkpK8nZvW_45LlhrbA,garage,False
mIiHJkpK8nZvW_45LlhrbA,street,False
mIiHJkpK8nZvW_45LlhrbA,validated,False
mIiHJkpK8nZvW_45LlhrbA,lot,False
mIiHJkpK8nZvW_45LlhrbA,valet,False
bN3jIkPqbqroQJteJsC2uw,garage,False
bN3jIkPqbqroQJteJsC2uw,street,True
bN3jIkPqbqroQJteJsC2uw,validated,False
bN3jIkPqbqroQJteJsC2uw,lot,False
bN3jIkPqbqroQJteJsC2uw,valet,False
OSYHPhvDWMqBRDZblqGiZA,garage,False
OSYHPhvDWMqBRDZblqGiZA,street,False
OSYHPhvDWMqBRDZblqGiZA,validated,False
OSYHPhvDWMqBRDZblqGiZA,lot,False
OSYHPhvDWMqBRDZblqGiZA,valet,False
8Nm_jcCYtMXYW0ODSHDiXA,garage,False
8Nm_jcCYtMXYW0ODSHDiXA,street,False
8Nm_jcCYtMXYW0ODSHDiXA,validated,False
8Nm_jcCYtMXYW0ODSHDiXA,lot,True
8Nm_jcCYtMXYW0ODSHDiXA,valet,False
9tAbTDdYTASHL7EU1e-OWw,garage,False
9tAbTDdYTASHL7EU1e-OWw,street,False
9tAbTDdYTASHL7EU1e-OWw,validated,False
9tAbTDdYTASHL7EU1e-OWw,lot,False
9tAbTDdYTASHL7EU1e-OWw,valet,False
imM-x_nAxVtYGVFJJ4FS3Q,garage,False
imM-x_nAxVtYGVFJJ4FS3Q,street,False
imM-x_nAxVtYGVFJJ4FS3Q,validated,False
imM-x_nAxVtYGVFJJ4FS3Q,lot,False
imM-x_nAxVtYGVFJJ4FS3Q,valet,False
T49ZvBa6mD4xHSmjHe-ArA,garage,False
T49ZvBa6mD4xHSmjHe-ArA,street,False
T49ZvBa6mD4xHSmjHe-ArA,validated,False
T49ZvBa6mD4xHSmjHe-ArA,lot,True
T49ZvBa6mD4xHSmjHe-ArA,valet,False
eOv0Dbq2E8sd0CKMAqTImw,garage,False
eOv0Dbq2E8sd0CKMAqTImw,street,True
eOv0Dbq2E8sd0CKMAqTImw,validated,False
eOv0Dbq2E8sd0CKMAqTImw,lot,False
eOv0Dbq2E8sd0CKMAqTImw,valet,False
